Wyatt Technology Corp. - CALYPSO ver. 2.3.0.19 Copyright  2018
FILE:  C:\Users\AldrichLab\Desktop\Calypso Data\SKp\October 2019\2019.10.30 Pump1_SKp_0.96mgmL Pump2_CaM_0.9mgmL Pump3_BaseBuffer0.5mMEGTA_redo.dat
SAMPLE ID:   Pump 1: SKp @ 0.096 g/L; Pump 2: wt-CaM @ 0.09 g/L; Pump 3: Base buffer @ 0 g/L; 
DATE:Thu, Oct 31, 2019  12:50 PM
Notes: Notes entered 2019.10.31 at 10:59 a.m.; *; *Pump 1: SKp 0.096 mgmL; *Pump 2: CaM 0.09 mgmL; *Pump 3: Base buffer ONLY; *; *Samples are prepared in same buffer as Pump 3; *; *Base buffer:; *100 mM NaCl; *10 mM HEPES; *0.5 mM EGTA; *pH 7.0; *0.02 micron filtered; *0.02% NaN3


slice   	volume  	t_(sec) 	Det._1  	Det._2  	Det._3  	Det._4  	Det._5  	Det._6  	Det._7  	Det._8  	Det._9  	Det._10 	Det._11 	Det._12 	Det._13 	Det._14 	Det._15 	Det._16 	Det._17 	Det._18 	Aux_1   	Aux_2   	Aux_3   	Aux_4   	Pump_1  	Pump_2  	Pump_3  	Pressure_1	Pressure_2	Pressure_3	Fill%_1 	Fill%_2 	Fill%_3 	Flow_Cell_Temp.	Heated_Line_Temp.	N2_Pressure	Laser_Voltage	Laser_Drive_Current	Laser_Monitor	Forward_Monitor
 0.00000	 0.00000	 1.03737	0.837794	0.0701295	0.0548462	0.0141672	0.00699874	0.0178320	0.0132125	0.0115324	0.0101581	0.00992856	0.00994178	0.00999697	0.0108146	0.0125208	0.0137980	0.0191194	0.00655772	0.0171484	0.0765598	0.0401596	0.00771399	0.00716542	 0.00000	 0.00000	 0.00000	-1.95370	-1.95351	-1.95370	 0.00000	 0.00000	 0.00000	 24.9988	-286.000	-0.0540666	 -242297	 144.243	0.999984	0.976301
 1.00000	 1.00000	 2.04745	0.843570	0.0698167	0.0546220	0.0143131	0.00699246	0.0178380	0.0131955	0.0115266	0.0101498	0.00992445	0.00993823	0.00998778	0.0108067	0.0125085	0.0137814	0.0190951	0.00654368	0.0171529	0.0765627	0.0401628	0.00771380	0.00716909	 0.00000	 0.00000	 0.00000	-1.95370	-1.31836E-8	1.68457E-7	 0.00000	 0.00000	 0.00000	 24.9995	-286.000	-0.0543917	 -242310	 144.432	0.999992	0.980314
 2.00000	 2.00000	 3.05752	0.847434	0.0698443	0.0544654	0.0143871	0.00698778	0.0178252	0.0131884	0.0115208	0.0101472	0.00991726	0.00993408	0.00997955	0.0108024	0.0125028	0.0137742	0.0190807	0.00653792	0.0171202	0.0765698	0.0401632	0.00771491	0.00717416	 0.00000	 0.00000	 0.00000	-3.90720	-1.31836E-8	1.68457E-7	 0.00000	 0.00000	 0.00000	 25.0003	-286.000	-0.0545349	 -242305	 144.588	0.999994	0.982658
 3.00000	 3.00000	 4.06759	0.850213	0.0701541	0.0539834	0.0143885	0.00697213	0.0177964	0.0131812	0.0115190	0.0101448	0.00991386	0.00993100	0.00997583	0.0107969	0.0124990	0.0137701	0.0190768	0.00653313	0.0171048	0.0765452	0.0401478	0.00771303	0.00717585	 0.00000	 0.00000	 0.00000	-3.90720	-1.31836E-8	1.68457E-7	 0.00000	 0.00000	 0.00000	 24.9981	-286.000	-0.0543530	 -242290	 144.701	0.999998	0.984260
 4.00000	 4.00000	 5.07767	0.851956	0.0705941	0.0537605	0.0144207	0.00696527	0.0177793	0.0131763	0.0115196	0.0101416	0.00991539	0.00992988	0.00997816	0.0107914	0.0124948	0.0137616	0.0190739	0.00652134	0.0171105	0.0765176	0.0401371	0.00771443	0.00717614	 0.00000	 0.00000	 0.00000	-3.90720	-1.31836E-8	1.68457E-7	 0.00000	 0.00000	 0.00000	 24.9990	-286.000	-0.0540396	 -242267	 144.768	0.999992	0.986424
 5.00000	 5.00000	 6.08774	0.854003	0.0711186	0.0539243	0.0144622	0.00696945	0.0177628	0.0131788	0.0115146	0.0101336	0.00991143	0.00993056	0.00997873	0.0107922	0.0124928	0.0137582	0.0190579	0.00651659	0.0170429	0.0765371	0.0401466	0.00771057	0.00717343	 0.00000	 0.00000	 0.00000	-1.95370	-1.31836E-8	1.68457E-7	 0.00000	 0.00000	 0.00000	 24.9954	-286.000	-0.0536262	 -242276	 144.833	0.999994	0.988647
 6.00000	 6.00000	 7.09781	0.855784	0.0716703	0.0541614	0.0144470	0.00696672	0.0177476	0.0131810	0.0115080	0.0101332	0.00990883	0.00993175	0.00997221	0.0107876	0.0124915	0.0137586	0.0190446	0.00651678	0.0169759	0.0765333	0.0401475	0.00770714	0.00716749	 0.00000	 0.00000	 0.00000	-3.90720	 1.95370	1.68457E-7	 0.00000	 0.00000	 0.00000	 24.9973	-286.000	-0.0535002	 -242283	 144.898	0.999994	0.989588
 7.00000	 7.00000	 8.10789	0.857004	0.0719618	0.0540726	0.0144148	0.00695921	0.0177379	0.0131762	0.0115056	0.0101361	0.00991011	0.00992720	0.00996822	0.0107846	0.0124838	0.0137549	0.0190431	0.00652302	0.0169392	0.0765206	0.0401454	0.00771230	0.00716315	 0.00000	 0.00000	 0.00000	-3.90720	-1.31836E-8	1.68457E-7	 0.00000	 0.00000	 0.00000	 24.9960	-286.000	-0.0537845	 -242272	 144.942	0.999996	0.990397
 8.00000	 8.00000	 9.11796	0.857914	0.0721770	0.0539926	0.0144028	0.00695057	0.0177219	0.0131694	0.0115031	0.0101310	0.00990666	0.00992568	0.00996646	0.0107811	0.0124842	0.0137561	0.0190451	0.00652553	0.0169328	0.0765419	0.0401549	0.00771428	0.00716334	 0.00000	 0.00000	 0.00000	-1.95370	-1.31836E-8	1.68457E-7	 0.00000	 0.00000	 0.00000	 24.9967	-286.000	-0.0541979	 -242271	 144.982	0.999996	0.991101
 9.00000	 9.00000	 10.1280	0.858489	0.0722768	0.0539095	0.0143951	0.00694535	0.0177145	0.0131685	0.0115014	0.0101294	0.00990574	0.00992387	0.00996592	0.0107786	0.0124863	0.0137545	0.0190448	0.00652153	0.0169458	0.0765462	0.0401570	0.00771303	0.00716807	 0.00000	 0.00000	 0.00000	-1.95370	-1.31836E-8	1.68457E-7	 0.00000	 0.00000	 0.00000	 24.9979	-286.000	-0.0543853	 -242267	 145.021	0.999993	0.991520
